Ground Truth True	Ground Truth False	TP	TN	FP	FN	Precision	Recall	Specificity	F1	MCC	Tool	length_bin	N
35362	13154	7591	13084	70	27771	0.9909	0.2147	0.9947	0.3528810171303721	0.2552	eukrep	[1500–5000)	48516
35362	13154	35221	13013	141	141	0.996	0.996	0.9893	0.9960126689666874	0.9853	tiara	[1500–5000)	48516
35362	13154	2062	13152	2	33300	0.999	0.0583	0.9998	0.11019077646555869	0.1281	kraken2	[1500–5000)	48516
1679	1615	1653	1591	24	26	0.9857	0.9845	0.9851	0.9851013110846246	0.9696	eukrep	[5000–10000)	3294
1679	1615	1678	1612	3	1	0.9982	0.9994	0.9981	0.9988095238095238	0.9976	tiara	[5000–10000)	3294
1679	1615	222	1614	1	1457	0.9955	0.1322	0.9994	0.2334384858044164	0.2619	kraken2	[5000–10000)	3294
24	1131	24	1121	10	0	0.7059	1.0	0.9912	0.8275862068965517	0.8364	eukrep	[10000–25000)	1155
24	1131	24	1131	0	0	1.0	1.0	1.0	1.0	1.0	tiara	[10000–25000)	1155
24	1131	6	1131	0	18	1.0	0.25	1.0	0.4	0.4961	kraken2	[10000–25000)	1155
0	540	0	540	0	0			1.0			eukrep	[25000–50000)	540
0	540	0	540	0	0			1.0			tiara	[25000–50000)	540
0	540	0	539	1	0			0.9981			kraken2	[25000–50000)	540
0	477	0	477	0	0			1.0			eukrep	≥50000	477
0	477	0	477	0	0			1.0			tiara	≥50000	477
0	477	0	476	1	0			0.9979			kraken2	≥50000	477
